"global_step","Rainbow DQN - _step","Rainbow DQN - _step__MIN","Rainbow DQN - _step__MAX","Rainbow DQN - charts/episodic_length","Rainbow DQN - charts/episodic_length__MIN","Rainbow DQN - charts/episodic_length__MAX","DQN - _step","DQN - _step__MIN","DQN - _step__MAX","DQN - charts/episodic_length","DQN - charts/episodic_length__MIN","DQN - charts/episodic_length__MAX"
"33164","502.5","467","538","185","185","185","","","","","",""
"33352","571","571","571","188","188","188","","","","","",""
"33540","573","573","573","188","188","188","","","","","",""
"33676","","","","","","","446.5","412","481","187","187","187"
"33727","575","575","575","187","187","187","","","","","",""
"33860","","","","","","","413","413","413","184","184","184"
"33917","471","471","471","190","190","190","","","","","",""
"34101","472","472","472","184","184","184","","","","","",""
"34110","","","","","","","414","414","414","250","250","250"
"34319","","","","","","","487","487","487","209","209","209"
"34475","540","540","540","186","186","186","","","","","",""
"34844","587","587","587","185","185","185","","","","","",""
"34927","","","","","","","528","528","528","186","186","186"
"35030","566","543","589","186","186","186","","","","","",""
"35115","","","","","","","419","419","419","188","188","188"
"35218","567.5","544","591","188","188","188","","","","","",""
"35406","545","545","545","188","188","188","","","","","",""
"35434","","","","","","","532","532","532","319","319","319"
"35826","","","","","","","422","422","422","186","186","186"
"35964","573.5","548","599","185","185","185","","","","","",""
"36153","601","601","601","189","189","189","","","","","",""
"36338","603","603","603","185","185","185","","","","","",""
"36439","","","","","","","492","492","492","205","205","205"
"36525","551","551","551","187","187","187","","","","","",""
"36683","","","","","","","518.5","493","544","244","244","244"
"36710","607","607","607","185","185","185","","","","","",""
"37086","554","554","554","186","186","186","","","","","",""
"37130","","","","","","","548","548","548","196","196","196"
"37275","584","555","613","189","189","189","","","","","",""
"37314","","","","","","","496","496","496","184","184","184"
"37462","556","556","556","187","187","187","","","","","",""
"37513","","","","","","","552","552","552","199","199","199"
"37647","617","617","617","185","185","185","","","","","",""
"37740","","","","","","","526","498","554","227","227","227"
"37834","558","558","558","187","187","187","","","","","",""
"37956","","","","","","","499","499","499","216","216","216"
"38019","590","559","621","185","185","185","","","","","",""
"38168","","","","","","","500","500","500","212","212","212"
"38207","591.5","560","623","188","188","188","","","","","",""
"38383","","","","","","","501","501","501","215","215","215"
"38395","593","561","625","188","188","188","","","","","",""
"38579","594.5","562","627","184","184","184","","","","","",""
"38629","","","","","","","562","562","562","246","246","246"
"38768","629","629","629","189","189","189","","","","","",""
"38956","631","631","631","188","188","188","","","","","",""
"39088","","","","","","","535","504","566","230","230","230"
"39142","599","565","633","186","186","186","","","","","",""
"39512","617.5","567","668","187","187","187","","","","","",""
"39680","","","","","","","539.5","507","572","204","204","204"
"39697","568","568","568","185","185","185","","","","","",""
"39880","672","672","672","183","183","183","","","","","",""
"40070","655","636","674","190","190","190","","","","","",""
"40192","","","","","","","576","576","576","238","238","238"
"40255","656.5","637","676","185","185","185","","","","","",""
"40628","680","680","680","189","189","189","","","","","",""
"40638","","","","","","","580","580","580","225","225","225"
"40815","640","640","640","187","187","187","","","","","",""
"40869","","","","","","","547","512","582","231","231","231"
"41120","","","","","","","584","584","584","251","251","251"
"41378","665.5","643","688","184","184","184","","","","","",""
"41566","690","690","690","188","188","188","","","","","",""
"41754","692","692","692","188","188","188","","","","","",""
"41789","","","","","","","553","516","590","201","201","201"
"41938","646","646","646","184","184","184","","","","","",""
"42125","647","647","647","187","187","187","","","","","",""
"42161","","","","","","","556","518","594","187","187","187"
"42497","674.5","649","700","186","186","186","","","","","",""
"42596","","","","","","","520","520","520","205","205","205"
"42687","702","702","702","190","190","190","","","","","",""
"42782","","","","","","","560.5","521","600","186","186","186"
"42873","704","704","704","186","186","186","","","","","",""
"42971","","","","","","","562","522","602","189","189","189"
"43061","652","652","652","188","188","188","","","","","",""
"43249","680.5","653","708","188","188","188","","","","","",""
"43405","","","","","","","606","606","606","200","200","200"
"43437","710","710","710","188","188","188","","","","","",""
"43599","","","","","","","525","525","525","194","194","194"
"43627","655","655","655","190","190","190","","","","","",""
"43810","714","714","714","183","183","183","","","","","",""
"43997","657","657","657","187","187","187","","","","","",""
"44121","","","","","","","610","610","610","276","276","276"
"44183","658","658","658","186","186","186","","","","","",""
