,charts/SPS,charts/beta,charts/episodic_length,charts/episodic_return,_timestamp,losses/td_loss,_step,global_step,_runtime,losses/q_values
115,111.0,,,,1754440232.863785,,72609,1715700.0,15379.382544984,
116,,,,,1754440337.7478607,,73098,1727200.0,15484.428755919,0.08697261
117,111.0,,,,1754440445.7036018,,73624,1739500.0,15599.493880379,
118,,,,,1754440636.0486352,,74532,1760900.0,15774.576740238,0.20861058
119,,0.62707615,,,1754440651.6431758,,74609,1762700.0,15789.584163103,
120,,0.62810385,,,1754440854.682187,,75581,1785400.0,15999.688546735,
121,111.0,,,,1754440943.0871198,,76004,1795400.0,16084.725069762,
122,111.0,,,,1754440946.2566366,,76022,1795800.0,16084.725966663,
123,,,,,1754441220.8000233,,77327,1826300.0,16374.84273601,0.06332243
124,111.0,,,,1754441335.5940537,,77875,1839100.0,16479.89348153,
125,111.0,,,,1754441389.181854,,78130,1845100.0,16529.932095357,
126,,,,,1754441495.541058,,78635,1856900.0,16649.976104742,0.048806824
127,,,,,1754441514.90835,,78728,1859100.0,16664.982289233,0.23465423
128,,,,,1754441643.9533079,2.7975435,79341,1873500.0,16785.033594132,
129,,,,,1754441837.8505476,2.5504303,80271,1895300.0,16990.124458602,
130,,,,,1754441841.8144894,,80288,1895700.0,16990.124962187,0.23304087
131,,0.6341885,,,1754442055.229162,,81317,1919800.0,17200.212450308,
132,,,,,1754442114.1753633,2.7715452,81601,1926500.0,17265.238982069,
133,,,,,1754442117.2672758,,81618,1926900.0,17265.244609408,0.15070695
134,111.0,,,,1754442280.8968174,,82409,1945500.0,17420.324410398,
135,,,,,1754442324.7134745,2.6653645,82616,1950400.0,17470.344609145,
136,,0.6361171,,,1754442431.1123302,,83129,1962400.0,17575.384467512,
137,,,,1.0,1754442611.8582475,,83987,1982625.0,17760.499892658,
138,,0.6377152,,,1754442746.218937,,84630,1997700.0,17885.571150218,
139,,,,,1754442764.3965793,,84716,1999700.0,17920.594854788,0.18597497
140,,,,,1754442816.3766131,2.7577434,84958,2005400.0,17970.620972465,
141,,,,,1754442823.0754411,1.8391773,84990,2006200.0,17970.623112518,
142,,,1148.0,3.0,1754442883.8879385,,85204,2013037.0,18019.579198143,
143,,,,,1754442986.4239142,,85780,2024700.0,18125.691091352,0.19297537
144,111.0,,,,1754443055.6696572,,86121,2032700.0,18205.717073682,
145,,,,,1754443227.013364,2.7161856,86944,2052100.0,18365.802669486,
146,,,,,1754443258.8513882,,87102,2055800.0,18395.815328597,0.23249964
147,,,,,1754443273.0148036,2.7134416,87171,2057400.0,18415.823376438,
148,,0.6415045,,,1754443483.8031585,,88196,2081400.0,18635.916154598,
149,,,,,1754443485.3970544,,88204,2081600.0,18635.916444708,0.21123092
150,,,,,1754443546.7171109,2.621018,88494,2088500.0,18685.934760303,
151,,,,,1754443738.7118285,2.655986,89414,2110100.0,18877.739539185,
152,,,,,1754443770.251243,,89576,2113800.0,18922.753606952,0.24576862
153,111.0,,,,1754443982.348089,,90606,2138000.0,19132.857007446,
154,,,,,1754444010.1613913,2.646607,90739,2141200.0,19147.866085867,
155,,,,,1754444379.2420518,2.689995,92534,2183300.0,19523.012959887,
156,,,,,1754444689.5397208,,94055,2219000.0,19838.144771726,0.30093664
157,,,,,1754444996.2284029,2.3777835,95553,2254100.0,20143.270533896,
158,112.0,,,,1754445060.5570087,,95869,2261400.0,20213.301215114,
159,,,,,1754445228.9608004,1.821984,96687,2280600.0,20383.369267203,
160,,,,,1754445401.8620536,2.6175587,97533,2300400.0,20543.452750811,
161,,,,,1754445613.5351057,2.6120453,98565,2324600.0,20758.56049975,
162,,0.6525963,,,1754445629.010686,,98646,2326400.0,20778.566147662,
163,,0.65303093,,,1754445711.7920907,,99054,2336000.0,20858.601610273,
164,,,,,1754446065.834475,,100774,2376300.0,21203.750108148,0.27899802
165,,0.6553081,,,1754446155.0473502,,101200,2386300.0,21293.797570753,
166,,0.6554168,,,1754446175.970002,,101303,2388700.0,21323.807448457,
167,,,,,1754446263.8533802,2.3829782,101728,2398700.0,21413.840979984,
168,,,,,1754446568.0521326,2.3229961,103192,2432900.0,21718.961386459,
169,112.0,,,,1754446677.233044,,103715,2445100.0,21824.001332771,
170,112.0,,,,1754446822.3655064,,104414,2461500.0,21964.078344597,
171,,0.6590703,,,1754446893.125792,,104753,2469400.0,22044.108069479,
172,,,,,1754447075.4377406,2.5335217,105631,2490000.0,22219.183501325,
173,,,,11.0,1754447122.7121594,,105860,2495325.0,22269.2056437,
174,,0.6607771,,,1754447227.2289593,,106364,2507100.0,22374.247322979,
175,,0.6609627,,,1754447263.3474488,,106538,2511200.0,22404.261757301,
176,,,,,1754447426.493063,2.5549285,107326,2529700.0,22564.347625378,
177,,,,,1754447443.7078118,2.312148,107406,2531600.0,22584.355074541,
178,,,,,1754447548.432785,2.5104685,107914,2543400.0,22699.39859588,
179,,,,,1754447612.6689167,,108226,2550700.0,22764.423034572,0.26517445
180,,,,,1754448205.013,2.4734113,111081,2617700.0,23349.688246906,
181,,0.6665131,,,1754448347.718552,,111772,2633800.0,23504.749869313,
182,112.0,,,,1754448362.0288267,,111839,2635400.0,23504.75978916,
183,,,,,1754448638.8012764,,113169,2666600.0,23779.884676685,0.2878124
184,112.0,,,,1754448666.7773218,,113304,2669700.0,23814.893615889,
185,112.0,,,,1754448680.198993,,113367,2671200.0,23829.899137266,
186,,,1190.0,,1754448776.7270129,,113829,2682096.0,23919.940331058,
187,,0.66964597,,,1754448961.1752944,,114723,2703000.0,24100.041298987,
188,,,,,1754449073.8612316,,115260,2715600.0,24225.08729886,0.3217771
189,,0.6709046,,,1754449208.5608056,,115912,2730800.0,24360.152177365,
190,112.0,,,,1754449330.5011814,,116501,2744600.0,24480.208548708,
191,,,1300.0,4.0,1754449561.3185713,,117545,2770684.0,24697.00992046,
192,,,,,1754449831.7130246,,118907,2801100.0,24980.420258488,0.3290155
193,,0.6753141,,,1754450071.7275915,,120065,2828200.0,25220.533396081,
194,,,,,1754450223.3772073,,120793,2845300.0,25375.590156416,0.5035728
195,,0.6763644,,,1754450276.908909,,121056,2851400.0,25420.61053384,
196,112.0,,,,1754450465.4741318,,121965,2872700.0,25615.690397099,
197,,,,,1754450925.7179737,2.199731,124180,2924600.0,26080.871626528,
198,,,,,1754450942.6699324,,124260,2926500.0,26095.877701347,0.46239996
199,,,,,1754450985.5986276,,124470,2931400.0,26125.891767236,0.32414746
200,112.0,,,,1754451006.0083673,,124570,2933700.0,26160.898598356,
201,112.0,,,,1754451305.8205237,,126001,2967300.0,26456.036559204,
202,,0.6830557,,,1754451590.2057173,,127362,2999200.0,26741.160032172,
203,,0.6833409,,,1754451645.4966307,,127632,3005500.0,26796.182802661,
204,,0.6836261,,,1754451701.9510682,,127901,3011800.0,26846.201707308,
205,,0.6838525,,,1754451746.3757172,,128113,3016800.0,26886.218475351,
206,,,,,1754451864.6738718,2.3257365,128685,3030200.0,27006.279710753,
207,,0.6851382,,,1754451998.8975518,,129330,3045200.0,27141.35075422,
208,112.0,,,,1754452375.3092887,,131126,3087200.0,27516.505901222,
209,,,,,1754452386.829827,,131181,3088500.0,27536.510646475,0.4125769
210,,0.68809456,,,1754452585.6355786,,132124,3110500.0,27726.581106821,
211,,,,,1754452729.063125,2.234793,132809,3126600.0,27876.654151502,
212,,,,,1754452846.275691,,133374,3139800.0,27996.700949513,0.47835088
213,112.0,,,,1754452910.6183383,,133681,3147000.0,28061.728943534,
214,,0.6898375,,,1754452927.8238158,,133768,3149000.0,28081.73510361,
215,,,,,1754452992.4159698,2.321012,134078,3156400.0,28131.759169893,
216,,,921.0,11.0,1754453011.7382221,,134098,3158592.0,28147.429612221,
217,,,,,1754453217.0563965,,135179,3182100.0,28356.863300286,0.40933758
218,112.0,,,,1754453501.8504543,,136577,3214700.0,28646.989426138,
219,112.0,,,,1754453782.3233669,,137947,3246700.0,28927.113736586,
220,112.0,,,,1754453814.8600616,,138107,3250500.0,28957.125783083,
221,112.0,,,,1754453939.66845,,138714,3264700.0,29077.182359946,
222,112.0,,,,1754453952.070268,,138774,3266100.0,29097.189511883,
223,,,1008.0,13.0,1754454078.4840055,,139307,3280595.0,29214.175271818,
224,,,,,1754454068.7223687,2.2347198,139345,3279500.0,29217.247477525,
225,,,1208.0,,1754454192.6849382,,139948,3293515.0,29332.29834893,
226,,,,,1754454203.183487,,139998,3294700.0,29352.305670892,0.39497012
227,,,,,1754454542.3991156,,141645,3333300.0,29697.453740529,0.46025664
228,,0.69893736,,,1754454688.298803,,142361,3350000.0,29827.505272211,
229,,,,,1754454770.351202,2.2289257,142755,3359300.0,29917.537659295,
230,112.0,,,,1754454780.80395,,142807,3360500.0,29917.541418018,
231,112.0,,,,1754454882.929986,,143304,3372100.0,30022.588114158,
232,,0.7001416,,,1754454922.2241051,,143499,3376600.0,30067.602879369,
233,,,,,1754455066.124216,2.1233733,144191,3392900.0,30207.662039167,
234,112.0,,,,1754455353.3673606,,145589,3425500.0,30502.76402532,
235,,0.7043836,,,1754455747.5351808,,147507,3470300.0,30892.950988035,
236,,0.70633036,,,1754456126.6703997,,149345,3513300.0,31273.113237342,
237,,,1174.0,,1754456155.5528865,,149488,3516653.0,31303.123538468,
238,,,,,1754456196.1637158,2.1518335,149686,3521300.0,31343.140427517,
239,,,,,1754456450.4730043,,150928,3550300.0,31598.246414139,0.4853811
240,,0.70817745,,,1754456484.4450274,,151093,3554100.0,31628.265215746,
241,112.0,,,,1754456741.613272,,152345,3583400.0,31888.396252718,
242,112.0,,,,1754456800.6089683,,152627,3590000.0,31943.416667868,
243,,0.7099929,,,1754456837.426065,,152809,3594200.0,31988.428076575,
244,,0.7106765,,,1754456970.4660873,,153456,3609300.0,32108.485721675,
245,,,,,1754457064.9673638,,153913,3620000.0,32213.518563348,0.5231329
246,112.0,,,,1754457174.5214806,,154443,3632400.0,32318.584775719,
247,,,,,1754457428.1754482,1.9264091,155681,3661300.0,32573.681992804,
248,,0.71317554,,,1754457455.6889517,,155821,3664500.0,32603.693534819,
249,,,,,1754457787.3400068,,157445,3702500.0,32933.837260301,0.45136863
250,,,,,1754458050.0569923,,158738,3732700.0,33188.941984299,0.43077803
251,,0.71750814,,,1754458291.5328848,,159916,3760200.0,33429.035463627,
252,,0.7176485,,,1754458318.3374164,,160049,3763300.0,33464.04573814,
253,,,,,1754458384.1011226,2.1383553,160374,3770900.0,33534.074686541,
254,112.0,,,,1754458489.8893173,,160889,3782900.0,33639.119984185,
255,,,,1.0,1754458518.5865085,,161027,3786136.0,33674.129885238,
256,112.0,,,,1754458588.6831396,,161366,3794100.0,33729.157453713,
257,,0.7190474,,,1754458589.6797302,,161373,3794200.0,33744.159392716,
258,112.0,,,,1754458630.4968534,,161570,3798800.0,33774.173523118,
259,112.0,,,,1754458701.0290208,,161915,3806900.0,33849.199912668,
260,,,,,1754458769.7334428,,162250,3814800.0,33909.223720629,0.5369672
261,,,,,1754458860.9839616,1.4164826,162697,3825300.0,33999.257192314,
262,,,,,1754459055.0925033,,163655,3847600.0,34194.353105623,0.4206658
263,,,,,1754459070.6390953,2.0955706,163731,3849400.0,34219.357707838,
264,,,,,1754459385.6311018,2.0478606,165274,3885400.0,34524.496349123,
265,,,,,1754459401.5261848,1.9607058,165346,3887100.0,34544.501911304,
266,,0.72336644,,,1754459423.4446537,,165457,3889600.0,34564.516249688,
267,,,,,1754459567.6833522,,166166,3906200.0,34719.577141181,0.40366688
268,,,,,1754459876.154258,,167688,3941800.0,35024.70141976,0.5088411
269,,,,,1754460002.8222158,,168308,3956300.0,35154.75888211,0.41235182
270,,,,,1754460067.9832983,,168632,3963900.0,35214.793506674,0.43774804
271,112.0,,,,1754460494.9017966,,170719,4012600.0,35640.00171397,
272,,0.7290844,,,1754460523.8648472,,170862,4015900.0,35680.014035435,
273,,,,,1754460562.8283148,,171051,4020400.0,35710.025020098,0.43396482
274,112.0,,,,1754460567.5396984,,171076,4021000.0,35710.025733322,
275,,,,,1754460982.605466,,173117,4068600.0,36125.2266635,0.40493593
276,,,,,1754461175.7906055,,174076,4090900.0,36325.304052594,0.5998881
277,,,,,1754461527.51253,,175793,4131000.0,36670.445961345,0.5788774
278,112.0,,,,1754461915.1772766,,177705,4175600.0,37060.601982618,
279,,,,,1754461979.1261194,1.9305365,178015,4182900.0,37120.62208108,
280,,0.7371021,,,1754462066.826299,,178454,4193000.0,37205.655543627,
281,,0.73721075,,,1754462088.1409214,,178558,4195400.0,37240.667312791,
282,112.0,,,,1754462252.8302758,,179367,4214300.0,37404.261065091,
283,,,931.0,,1754462337.5034122,,179784,4224065.0,37476.312848614,
284,,,,,1754462401.0216265,,180097,4231400.0,37541.339489967,0.7013031
285,,0.7392118,,,1754462472.4424183,,180451,4239600.0,37614.126473021,
286,,,,,1754462522.8347452,1.8907431,180691,4245300.0,37664.147997981,
287,,,,,1754462528.617258,1.9725232,180722,4246000.0,37679.149788743,
288,112.0,,,,1754462670.8230917,,181425,4262400.0,37824.206145727,
289,,,,,1754462703.2568586,,181586,4266200.0,37854.219117177,0.64703596
