"global_step","Rainbow DQN - _step","Rainbow DQN - _step__MIN","Rainbow DQN - _step__MAX","Rainbow DQN - charts/episodic_return","Rainbow DQN - charts/episodic_return__MIN","Rainbow DQN - charts/episodic_return__MAX","DQN - _step","DQN - _step__MIN","DQN - _step__MAX","DQN - charts/episodic_return","DQN - charts/episodic_return__MIN","DQN - charts/episodic_return__MAX"
"4495509","","","","","","","196178","196178","196178","11","11","11"
"4496532","194617","194617","194617","3","3","3","","","","","",""
"4496792","","","","","","","196240","196240","196240","3","3","3"
"4497711","194724","194724","194724","6","6","6","","","","","",""
"4497839","","","","","","","196275","196275","196275","12","12","12"
"4498834","","","","","","","196269","196231","196307","12","12","12"
"4499143","194778","194772","194784","1","1","1","","","","","",""
"4499927","","","","","","","196336.5","196318","196355","13","13","13"
"4501148","","","","","","","196371","196371","196371","1","1","1"
"4501525","194867.5","194850","194885","6","6","6","","","","","",""
"4502420","","","","","","","196458","196458","196458","5","5","5"
"4502946","194927","194927","194927","1","1","1","","","","","",""
"4503728","","","","","","","196537","196537","196537","8","8","8"
"4504232","194963.5","194928","194999","5","5","5","","","","","",""
"4504735","","","","","","","196485","196485","196485","10","10","10"
"4505747","195033","195033","195033","-1","-1","-1","","","","","",""
"4505845","","","","","","","196562.5","196497","196628","9","9","9"
"4507060","195076.5","195034","195119","2","2","2","","","","","",""
"4508107","","","","","","","196597","196597","196597","13","13","13"
"4509115","","","","","","","196683","196683","196683","9","9","9"
"4509213","195212","195212","195212","-3","-3","-3","","","","","",""
"4510062","","","","","","","196752","196693","196811","5","5","5"
"4511042","","","","","","","196811","196779","196843","10","10","10"
"4515147","","","","","","","196998.5","196974","197023","5","5","5"
"4515373","195445","195420","195470","9","9","9","","","","","",""
"4516460","195518","195518","195518","16","16","16","","","","","",""
"4518139","","","","","","","197145","197145","197145","17","17","17"
"4518993","195599","195575","195623","6","6","6","","","","","",""
"4519330","","","","","","","197095","197095","197095","9","9","9"
"4520331","195653","195653","195653","3","3","3","","","","","",""
"4520337","","","","","","","197182","197182","197182","11","11","11"
"4521338","195709","195692","195726","8","8","8","","","","","",""
"4521710","","","","","","","197252.5","197197","197308","2","2","2"
"4522476","195693","195693","195693","6","6","6","","","","","",""
"4523603","195824","195824","195824","-3","-3","-3","","","","","",""
"4523740","","","","","","","197372","197372","197372","8","8","8"
"4524602","195819","195771","195867","9","9","9","","","","","",""
"4525585","195847","195847","195847","6","6","6","","","","","",""
"4526264","","","","","","","197487","197487","197487","2","2","2"
"4526836","195924","195924","195924","7","7","7","","","","","",""
"4527461","","","","","","","197550","197550","197550","-1","-1","-1"
"4527946","195925","195925","195925","10","10","10","","","","","",""
"4528670","","","","","","","197560","197532","197588","7","7","7"
"4529571","","","","","","","197617","197617","197617","13","13","13"
"4530245","196079","196079","196079","12","12","12","","","","","",""
"4530643","","","","","","","197652.5","197628","197677","7","7","7"
"4531372","196080","196080","196080","9","9","9","","","","","",""
"4531916","","","","","","","197642","197642","197642","7","7","7"
"4533199","","","","","","","197792","197792","197792","2","2","2"
"4533516","196247","196247","196247","4","4","4","","","","","",""
"4534449","","","","","","","197801","197745","197857","2","2","2"
"4535395","","","","","","","197858","197830","197886","11","11","11"
"4535898","196345","196345","196345","6","6","6","","","","","",""
"4536664","","","","","","","197885.5","197844","197927","3","3","3"
"4537331","196344","196344","196344","3","3","3","","","","","",""
"4539021","","","","","","","197986.5","197945","198028","9","9","9"
"4539550","196502","196502","196502","8","8","8","","","","","",""
"4540506","196498","196498","196498","11","11","11","","","","","",""
"4541428","196584","196584","196584","13","13","13","","","","","",""
"4541653","","","","","","","198048","198048","198048","5","5","5"
"4542677","","","","","","","198163","198135","198191","12","12","12"
"4542770","196576","196576","196576","4","4","4","","","","","",""
"4543877","","","","","","","198200.5","198148","198253","5","5","5"
"4545154","","","","","","","198265.5","198237","198294","5","5","5"
"4546197","196783","196783","196783","-4","-4","-4","","","","","",""
"4547301","196821.5","196808","196835","7","7","7","","","","","",""
"4547675","","","","","","","198339","198339","198339","5","5","5"
"4549393","196886","196886","196886","16","16","16","","","","","",""
"4549680","","","","","","","198486","198486","198486","5","5","5"
"4550681","196931","196887","196975","-1","-1","-1","","","","","",""
"4550986","","","","","","","198501","198450","198552","-1","-1","-1"
"4552009","","","","","","","198587","198587","198587","9","9","9"
"4552810","","","","","","","198546","198546","198546","17","17","17"
"4552951","197002","197002","197002","12","12","12","","","","","",""
"4554029","197078","197078","197078","8","8","8","","","","","",""
"4554303","","","","","","","198637","198637","198637","-5","-5","-5"
"4555144","197079","197079","197079","13","13","13","","","","","",""
"4556012","197207","197207","197207","14","14","14","","","","","",""
"4556937","197157","197157","197157","8","8","8","","","","","",""
"4557933","197234","197234","197234","6","6","6","","","","","",""
"4558255","","","","","","","198815","198784","198846","16","16","16"
"4559055","197285.5","197235","197336","-3","-3","-3","","","","","",""
"4559318","","","","","","","198871","198871","198871","7","7","7"
"4561388","","","","","","","198893","198893","198893","6","6","6"
"4562358","","","","","","","199038","199038","199038","12","12","12"
"4563731","197501","197467","197535","9","9","9","","","","","",""
"4564845","","","","","","","199082","199082","199082","4","4","4"
"4565109","197569","197544","197594","1","1","1","","","","","",""
"4565730","","","","","","","199131","199092","199170","14","14","14"
"4566217","197631.5","197621","197642","3","3","3","","","","","",""
"4566904","","","","","","","199180","199180","199180","6","6","6"
"4567307","197688","197688","197688","8","8","8","","","","","",""
"4567802","","","","","","","199263","199263","199263","14","14","14"
"4568604","197709","197709","197709","1","1","1","","","","","",""
"4569988","197799","197799","197799","4","4","4","","","","","",""
"4571120","197818","197787","197849","-3","-3","-3","","","","","",""
"4571148","","","","","","","199416","199416","199416","9","9","9"
"4572344","","","","","","","199421.5","199389","199454","7","7","7"
"4572480","197884","197864","197904","3","3","3","","","","","",""
"4573380","","","","","","","199400","199400","199400","10","10","10"
"4573986","197942","197942","197942","-1","-1","-1","","","","","",""
"4574566","","","","","","","199488","199488","199488","1","1","1"
"4575306","198023","198019","198027","7","7","7","","","","","",""
"4575835","","","","","","","199613","199613","199613","7","7","7"
"4576465","198073","198073","198073","9","9","9","","","","","",""
"4576993","","","","","","","199648","199648","199648","6","6","6"
"4577563","198109","198097","198121","5","5","5","","","","","",""
"4579107","","","","","","","199689","199689","199689","15","15","15"
"4579897","198219","198219","198219","4","4","4","","","","","",""
"4580976","198220","198175","198265","9","9","9","","","","","",""
"4582121","","","","","","","199828","199828","199828","13","13","13"
"4582275","198321","198321","198321","-2","-2","-2","","","","","",""
"4584198","","","","","","","199945","199924","199966","14","14","14"
"4585184","198429","198429","198429","8","8","8","","","","","",""
"4585194","","","","","","","199998","199998","199998","8","8","8"
"4586140","198488","198488","198488","11","11","11","","","","","",""
"4587005","198507","198507","198507","13","13","13","","","","","",""
"4587770","","","","","","","200105","200105","200105","3","3","3"
"4587849","198562","198562","198562","16","16","16","","","","","",""
"4588921","","","","","","","200180","200180","200180","8","8","8"
"4589202","198603.5","198585","198622","8","8","8","","","","","",""
"4589872","","","","","","","200209","200209","200209","10","10","10"
"4590424","198673","198673","198673","9","9","9","","","","","",""
"4590928","","","","","","","200268","200268","200268","11","11","11"
"4591470","198715","198715","198715","10","10","10","","","","","",""
"4591918","","","","","","","200235","200235","200235","7","7","7"
"4592532","198740","198740","198740","5","5","5","","","","","",""
"4593761","198813","198813","198813","-1","-1","-1","","","","","",""
"4594294","","","","","","","200398","200398","200398","5","5","5"
"4594782","198818","198818","198818","7","7","7","","","","","",""
"4595345","","","","","","","200457","200457","200457","11","11","11"
"4595633","198857","198819","198895","17","17","17","","","","","",""
"4596377","","","","","","","200433","200433","200433","14","14","14"
"4596439","198896","198896","198896","16","16","16","","","","","",""
"4597503","198978","198978","198978","4","4","4","","","","","",""
"4597524","","","","","","","200486.5","200446","200527","2","2","2"
"4598634","199024","199024","199024","9","9","9","","","","","",""
"4598656","","","","","","","200533","200533","200533","3","3","3"
"4599795","","","","","","","200545","200545","200545","-7","-7","-7"
"4600847","","","","","","","200632","200632","200632","4","4","4"
"4601056","199127","199127","199127","9","9","9","","","","","",""
"4602113","199173","199173","199173","6","6","6","","","","","",""
"4602155","","","","","","","200684","200646","200722","5","5","5"
"4603275","199180","199180","199180","-6","-6","-6","","","","","",""
"4604111","","","","","","","200811","200811","200811","10","10","10"
"4604250","199222.5","199181","199264","11","11","11","","","","","",""
"4605159","","","","","","","200830","200830","200830","9","9","9"
"4605340","199310","199310","199310","-3","-3","-3","","","","","",""
"4606151","","","","","","","200900","200900","200900","10","10","10"
"4606443","199358","199358","199358","16","16","16","","","","","",""
"4607195","","","","","","","200944","200944","200944","15","15","15"
"4607457","199400","199400","199400","9","9","9","","","","","",""
"4609086","","","","","","","201030","201030","201030","7","7","7"
"4610001","","","","","","","200998","200998","200998","11","11","11"
"4611103","","","","","","","201085","201085","201085","8","8","8"
"4611415","199530.5","199491","199570","12","12","12","","","","","",""
"4612265","","","","","","","201168","201168","201168","10","10","10"
"4613465","199623.5","199592","199655","8","8","8","","","","","",""
"4614261","199691","199691","199691","14","14","14","","","","","",""
"4615008","","","","","","","201280","201280","201280","6","6","6"
"4615054","199697","199669","199725","15","15","15","","","","","",""
"4616145","","","","","","","201276.5","201214","201339","11","11","11"
"4617427","","","","","","","201303","201303","201303","-5","-5","-5"
"4618824","","","","","","","201448","201448","201448","3","3","3"
"4619180","199863","199825","199901","11","11","11","","","","","",""
"4620097","","","","","","","201406","201406","201406","4","4","4"
"4621136","","","","","","","201493","201493","201493","6","6","6"
"4621341","199996","199996","199996","-2","-2","-2","","","","","",""
"4622497","200011","199980","200042","-1","-1","-1","","","","","",""
"4623075","","","","","","","201611","201590","201632","12","12","12"
"4623833","200057","200057","200057","5","5","5","","","","","",""
"4624253","","","","","","","201670","201670","201670","4","4","4"
"4626311","200207","200207","200207","3","3","3","","","","","",""
"4626552","","","","","","","201767","201767","201767","3","3","3"
"4627573","200225","200225","200225","6","6","6","","","","","",""
"4627708","","","","","","","201810.5","201791","201830","9","9","9"
"4628558","","","","","","","201800","201800","201800","11","11","11"
"4628564","200301","200301","200301","10","10","10","","","","","",""
"4629690","200302","200302","200302","6","6","6","","","","","",""
"4630779","","","","","","","201899","201899","201899","17","17","17"
"4632005","","","","","","","201913","201913","201913","-4","-4","-4"
"4632304","200463","200463","200463","8","8","8","","","","","",""
"4632982","","","","","","","202057","202057","202057","9","9","9"
"4633471","200458","200458","200458","5","5","5","","","","","",""
"4634150","","","","","","","202011","202011","202011","7","7","7"
"4634641","200561","200561","200561","9","9","9","","","","","",""
"4635395","","","","","","","202024","202024","202024","7","7","7"
"4635523","200567.5","200536","200599","11","11","11","","","","","",""
"4636479","","","","","","","202165","202138","202192","-6","-6","-6"
"4636869","200612","200612","200612","2","2","2","","","","","",""
"4638119","200710","200710","200710","13","13","13","","","","","",""
"4638863","","","","","","","202239","202239","202239","8","8","8"
"4639231","200723.5","200691","200756","2","2","2","","","","","",""
"4640744","200767","200767","200767","3","3","3","","","","","",""
"4641197","","","","","","","202339","202339","202339","4","4","4"
"4641885","200856","200845","200867","8","8","8","","","","","",""
"4642142","","","","","","","202434","202434","202434","11","11","11"
"4643461","","","","","","","202499","202499","202499","-1","-1","-1"
"4644376","200953.5","200934","200973","5","5","5","","","","","",""
"4644526","","","","","","","202534","202534","202534","6","6","6"
"4645530","","","","","","","202564","202537","202591","16","16","16"
"4646842","201078","201078","201078","2","2","2","","","","","",""
"4646894","","","","","","","202591.5","202551","202632","2","2","2"
"4647927","","","","","","","202692","202692","202692","7","7","7"
"4649043","201132","201090","201174","2","2","2","","","","","",""
"4649207","","","","","","","202692.5","202652","202733","7","7","7"
"4649973","201190","201168","201212","13","13","13","","","","","",""
"4650655","","","","","","","202742","202742","202742","3","3","3"
"4651718","","","","","","","202860","202860","202860","3","3","3"
"4651848","201294","201294","201294","11","11","11","","","","","",""
"4652932","201246","201246","201246","13","13","13","","","","","",""
"4653911","201353","201323","201383","6","6","6","","","","","",""
"4655024","","","","","","","202990","202990","202990","9","9","9"
"4655159","201400","201400","201400","7","7","7","","","","","",""
"4656135","","","","","","","202953","202953","202953","12","12","12"
"4656280","201441","201401","201481","-6","-6","-6","","","","","",""
"4657367","","","","","","","203041","203041","203041","-2","-2","-2"
"4657613","201513.5","201487","201540","5","5","5","","","","","",""
"4658510","","","","","","","203125","203125","203125","7","7","7"
"4658995","201596","201596","201596","7","7","7","","","","","",""
"4659398","","","","","","","203157","203138","203176","14","14","14"
"4660196","201606","201565","201647","6","6","6","","","","","",""
"4660267","","","","","","","203148","203148","203148","13","13","13"
"4662260","","","","","","","203306","203306","203306","12","12","12"
"4662979","201719","201719","201719","3","3","3","","","","","",""
"4663630","","","","","","","203350","203350","203350","-7","-7","-7"
"4664404","201812","201796","201828","3","3","3","","","","","",""
"4664944","","","","","","","203429","203429","203429","8","8","8"
"4665606","201879","201879","201879","5","5","5","","","","","",""
"4665929","","","","","","","203426.5","203392","203461","9","9","9"
"4666831","201929","201929","201929","-3","-3","-3","","","","","",""
"4667013","","","","","","","203404","203404","203404","10","10","10"
"4667924","","","","","","","203549","203549","203549","16","16","16"
"4669235","202032","202032","202032","5","5","5","","","","","",""
"4670111","","","","","","","203513","203513","203513","7","7","7"
"4670498","202029","202029","202029","3","3","3","","","","","",""
"4671184","","","","","","","203675","203675","203675","14","14","14"
"4672738","202180","202180","202180","7","7","7","","","","","",""
"4673372","","","","","","","203734","203698","203770","12","12","12"
"4673997","202231","202231","202231","4","4","4","","","","","",""
"4674490","","","","","","","203829","203829","203829","7","7","7"
"4675600","","","","","","","203864","203864","203864","-4","-4","-4"
"4676252","202259","202259","202259","11","11","11","","","","","",""
"4678933","","","","","","","203909","203909","203909","15","15","15"
"4680074","","","","","","","204056","204056","204056","8","8","8"
"4681194","202515","202492","202538","7","7","7","","","","","",""
"4682134","202581","202581","202581","11","11","11","","","","","",""
"4682490","","","","","","","204098","204098","204098","3","3","3"
"4683691","","","","","","","204218","204218","204218","5","5","5"
"4684470","202662.5","202646","202679","2","2","2","","","","","",""
"4685567","202725","202725","202725","7","7","7","","","","","",""
"4686286","","","","","","","204307","204289","204325","-6","-6","-6"
"4686780","202731","202731","202731","4","4","4","","","","","",""
"4687231","","","","","","","204357","204357","204357","-9","-9","-9"
"4687686","202816","202816","202816","6","6","6","","","","","",""
"4688293","","","","","","","204386","204386","204386","7","7","7"
"4688820","202809","202809","202809","-2","-2","-2","","","","","",""
"4689384","","","","","","","204398","204398","204398","5","5","5"
"4690289","202905.5","202885","202926","3","3","3","","","","","",""
"4690659","","","","","","","204502","204502","204502","3","3","3"
"4691170","202965","202965","202965","13","13","13","","","","","",""
"4691971","","","","","","","204568","204568","204568","3","3","3"
"4692441","202964","202964","202964","1","1","1","","","","","",""
"4692923","","","","","","","204600","204600","204600","12","12","12"
"4694069","","","","","","","204631","204631","204631","6","6","6"
"4694762","203117","203117","203117","7","7","7","","","","","",""
"4695087","","","","","","","204704","204704","204704","-7","-7","-7"
"4697439","","","","","","","204743","204743","204743","8","8","8"
"4697966","203254","203254","203254","8","8","8","","","","","",""
"4698944","203273","203273","203273","9","9","9","","","","","",""
"4699485","","","","","","","204765","204765","204765","14","14","14"
"4700432","","","","","","","204889","204851","204927","8","8","8"
"4702636","203416.5","203379","203454","9","9","9","","","","","",""
"4703030","","","","","","","204954","204954","204954","4","4","4"
"4703663","203476.5","203455","203498","7","7","7","","","","","",""
"4706058","","","","","","","205062","205062","205062","14","14","14"
"4706314","203613","203613","203613","2","2","2","","","","","",""
"4707179","","","","","","","205181.5","205149","205214","6","6","6"
"4708143","","","","","","","205160","205160","205160","14","14","14"
"4708265","203694","203694","203694","7","7","7","","","","","",""
"4709347","203714.5","203689","203740","9","9","9","","","","","",""
"4710599","","","","","","","205316.5","205262","205371","4","4","4"
"4712596","","","","","","","205397","205359","205435","8","8","8"
"4712910","203843","203843","203843","10","10","10","","","","","",""
"4713613","","","","","","","205446","205446","205446","10","10","10"
"4714274","203934.5","203920","203949","-3","-3","-3","","","","","",""
"4715831","","","","","","","205545","205545","205545","5","5","5"
"4716119","204031","204031","204031","18","18","18","","","","","",""
"4716997","","","","","","","205618.5","205600","205637","-4","-4","-4"
"4718040","","","","","","","205642","205612","205672","13","13","13"
"4718528","204133","204133","204133","-3","-3","-3","","","","","",""
"4720472","","","","","","","205743","205713","205773","6","6","6"
"4720487","204176","204176","204176","11","11","11","","","","","",""
"4721648","","","","","","","205825","205801","205849","3","3","3"
"4721726","204270","204270","204270","4","4","4","","","","","",""
"4722833","204254","204254","204254","10","10","10","","","","","",""
"4723766","204343.5","204331","204356","16","16","16","","","","","",""
"4725099","204371.5","204332","204411","7","7","7","","","","","",""
"4725215","","","","","","","205915","205915","205915","10","10","10"
"4726220","204409","204409","204409","9","9","9","","","","","",""
"4726314","","","","","","","205927","205927","205927","13","13","13"
"4727452","204486","204486","204486","-3","-3","-3","","","","","",""
"4727741","","","","","","","206054","206017","206091","2","2","2"
"4728706","204487","204487","204487","8","8","8","","","","","",""
"4729137","","","","","","","206096","206032","206160","2","2","2"
"4729935","204564","204564","204564","3","3","3","","","","","",""
"4730324","","","","","","","206159","206120","206198","7","7","7"
"4730961","204613","204565","204661","12","12","12","","","","","",""
"4732133","204713","204713","204713","9","9","9","","","","","",""
"4732349","","","","","","","206287","206287","206287","5","5","5"
"4732924","204672","204672","204672","11","11","11","","","","","",""
"4733441","","","","","","","206288.5","206230","206347","6","6","6"
"4734094","204795","204795","204795","9","9","9","","","","","",""
"4734358","","","","","","","206345.5","206315","206376","12","12","12"
"4735333","","","","","","","206408","206408","206408","9","9","9"
"4736575","204900","204900","204900","5","5","5","","","","","",""
"4736731","","","","","","","206477","206477","206477","-3","-3","-3"
"4737596","204923.5","204903","204944","2","2","2","","","","","",""
"4737694","","","","","","","206426","206426","206426","11","11","11"
"4738460","204983","204983","204983","11","11","11","","","","","",""
"4739630","205007.5","204982","205033","2","2","2","","","","","",""
"4739797","","","","","","","206597","206597","206597","11","11","11"
"4740620","205077","205077","205077","4","4","4","","","","","",""
"4740991","","","","","","","206612","206612","206612","5","5","5"
"4741679","205059","205059","205059","3","3","3","","","","","",""
"4744402","205238","205238","205238","10","10","10","","","","","",""
"4744518","","","","","","","206790.5","206770","206811","9","9","9"
"4745452","","","","","","","206810","206780","206840","12","12","12"
"4745742","205293","205293","205293","-4","-4","-4","","","","","",""
"4747847","205350.5","205319","205382","5","5","5","","","","","",""
"4747897","","","","","","","206941","206941","206941","9","9","9"
"4748895","205425","205425","205425","12","12","12","","","","","",""
"4749067","","","","","","","206993","206969","207017","9","9","9"
"4749994","","","","","","","207046","207046","207046","9","9","9"
"4751047","","","","","","","207105","207105","207105","7","7","7"
"4751429","205473","205473","205473","4","4","4","","","","","",""
"4752029","","","","","","","207069.5","207002","207137","13","13","13"
"4752293","205571","205571","205571","15","15","15","","","","","",""
"4753405","","","","","","","207092","207092","207092","3","3","3"
"4753439","205551","205551","205551","8","8","8","","","","","",""
"4754552","205628","205628","205628","8","8","8","","","","","",""
"4754587","","","","","","","207241","207241","207241","3","3","3"
"4755459","205668.5","205629","205708","11","11","11","","","","","",""
"4756921","","","","","","","207342","207342","207342","10","10","10"
"4757894","","","","","","","207290","207290","207290","9","9","9"
"4757907","205814","205814","205814","4","4","4","","","","","",""
"4759050","205822","205784","205860","9","9","9","","","","","",""
"4760248","205886","205861","205911","13","13","13","","","","","",""
"4760269","","","","","","","207473","207473","207473","7","7","7"
"4761200","","","","","","","207463","207401","207525","17","17","17"
"4762431","","","","","","","207528","207490","207566","6","6","6"
"4762769","205997","205976","206018","4","4","4","","","","","",""
"4764651","","","","","","","207662","207662","207662","11","11","11"
"4764842","206054","206054","206054","10","10","10","","","","","",""
"4765472","","","","","","","207713","207713","207713","13","13","13"
"4765841","206151","206151","206151","-5","-5","-5","","","","","",""
"4766592","","","","","","","207748","207748","207748","6","6","6"
"4766747","206131","206131","206131","8","8","8","","","","","",""
"4767622","","","","","","","207698","207698","207698","7","7","7"
"4767803","206237","206237","206237","-3","-3","-3","","","","","",""
"4768634","","","","","","","207784","207784","207784","7","7","7"
"4769054","206209","206209","206209","-3","-3","-3","","","","","",""
"4771029","206374","206374","206374","5","5","5","","","","","",""
"4771066","","","","","","","207906.5","207885","207928","7","7","7"
"4772027","206416","206416","206416","14","14","14","","","","","",""
"4773371","","","","","","","207953","207953","207953","1","1","1"
"4773967","206470.5","206442","206499","12","12","12","","","","","",""
"4774311","","","","","","","208060.5","208039","208082","12","12","12"
"4774953","206492.5","206443","206542","16","16","16","","","","","",""
"4776168","206520","206520","206520","3","3","3","","","","","",""
"4776487","","","","","","","208186","208186","208186","10","10","10"
"4777026","206631","206631","206631","10","10","10","","","","","",""
"4777698","","","","","","","208150","208150","208150","-2","-2","-2"
"4778340","206686","206686","206686","7","7","7","","","","","",""
"4779613","206726","206710","206742","2","2","2","","","","","",""
"4779952","","","","","","","208322","208322","208322","5","5","5"
"4780703","206711","206711","206711","5","5","5","","","","","",""
"4781029","","","","","","","208321.5","208262","208381","13","13","13"
"4781835","206835","206835","206835","8","8","8","","","","","",""
"4782115","","","","","","","208349","208349","208349","7","7","7"
"4783111","206891","206891","206891","4","4","4","","","","","",""
"4783190","","","","","","","208416.5","208360","208473","6","6","6"
"4784320","206903.5","206866","206941","3","3","3","","","","","",""
"4784436","","","","","","","208449","208449","208449","7","7","7"
"4785363","","","","","","","208513.5","208459","208568","8","8","8"
"4786411","","","","","","","208574.5","208546","208603","4","4","4"
"4786910","207020","207020","207020","6","6","6","","","","","",""
"4787459","","","","","","","208635","208635","208635","13","13","13"
"4788030","207060.5","207021","207100","11","11","11","","","","","",""
"4788677","","","","","","","208645","208645","208645","6","6","6"
"4789744","207135.5","207099","207172","12","12","12","","","","","",""
"4790108","","","","","","","208769","208769","208769","9","9","9"
"4791471","","","","","","","208810","208810","208810","5","5","5"
"4792141","207275","207275","207275","5","5","5","","","","","",""
"4792619","","","","","","","208764","208764","208764","6","6","6"
"4793019","207284","207254","207314","12","12","12","","","","","",""
"4793686","","","","","","","208850","208850","208850","11","11","11"
"4795404","207415","207415","207415","6","6","6","","","","","",""
"4796700","207462.5","207458","207467","4","4","4","","","","","",""
"4797637","","","","","","","209067","209067","209067","-3","-3","-3"
"4797848","207517","207517","207517","8","8","8","","","","","",""
"4800818","","","","","","","209114","209114","209114","4","4","4"
"4801710","207648.5","207615","207682","5","5","5","","","","","",""
"4801964","","","","","","","209233.5","209201","209266","8","8","8"
"4803927","207777","207777","207777","14","14","14","","","","","",""
"4804125","","","","","","","209360","209360","209360","16","16","16"
"4804906","207794.5","207770","207819","11","11","11","","","","","",""
"4805171","","","","","","","209351.5","209311","209392","8","8","8"
"4806163","","","","","","","209449","209449","209449","11","11","11"
"4807578","207888.5","207847","207930","11","11","11","","","","","",""
"4808263","","","","","","","209540","209540","209540","11","11","11"
"4808816","207925","207925","207925","12","12","12","","","","","",""
"4809647","","","","","","","209584","209584","209584","5","5","5"
"4810122","208005.5","207972","208039","6","6","6","","","","","",""
"4811039","","","","","","","209600","209600","209600","7","7","7"
"4812095","208085","208049","208121","10","10","10","","","","","",""
"4812292","","","","","","","209613","209613","209613","3","3","3"
"4813264","","","","","","","209624","209624","209624","7","7","7"
"4814408","","","","","","","209749","209712","209786","10","10","10"
"4815269","208204","208204","208204","2","2","2","","","","","",""
"4815437","","","","","","","209843","209843","209843","10","10","10"
"4816672","","","","","","","209811","209811","209811","5","5","5"
"4817604","","","","","","","209938","209938","209938","15","15","15"
"4817824","208358","208358","208358","2","2","2","","","","","",""
"4819197","208423","208423","208423","8","8","8","","","","","",""
"4819895","","","","","","","209977.5","209922","210033","10","10","10"
"4820204","208436","208436","208436","16","16","16","","","","","",""
"4821007","","","","","","","210071","210071","210071","9","9","9"
"4821951","208545","208545","208545","6","6","6","","","","","",""
"4822224","","","","","","","210023","210023","210023","7","7","7"
"4823279","208600","208600","208600","1","1","1","","","","","",""
"4824364","","","","","","","210167","210121","210213","11","11","11"
"4824395","208647","208647","208647","4","4","4","","","","","",""
"4825480","","","","","","","210208","210208","210208","9","9","9"
"4825496","208669.5","208646","208693","9","9","9","","","","","",""
"4826783","208735.5","208722","208749","-3","-3","-3","","","","","",""
"4828014","","","","","","","210276","210276","210276","-1","-1","-1"
"4830094","","","","","","","210408.5","210373","210444","7","7","7"
"4830270","208898","208898","208898","11","11","11","","","","","",""
"4831439","","","","","","","210488","210463","210513","5","5","5"
"4832540","","","","","","","210475","210475","210475","11","11","11"
"4833677","","","","","","","210620","210620","210620","2","2","2"
"4833749","209047","209047","209047","4","4","4","","","","","",""
"4835952","","","","","","","210587","210587","210587","10","10","10"
"4836071","209127.5","209110","209145","10","10","10","","","","","",""
"4837178","","","","","","","210715.5","210675","210756","9","9","9"
"4837950","209227","209227","209227","14","14","14","","","","","",""
"4838332","","","","","","","210753.5","210688","210819","9","9","9"
"4839061","209274","209274","209274","9","9","9","","","","","",""
"4839469","","","","","","","210775","210775","210775","9","9","9"
"4840017","209291.5","209266","209317","11","11","11","","","","","",""
"4840575","","","","","","","210913","210913","210913","10","10","10"
"4841144","209363","209363","209363","8","8","8","","","","","",""
"4842548","209388","209388","209388","-1","-1","-1","","","","","",""
"4843135","","","","","","","210993","210966","211020","5","5","5"
"4843753","209465","209465","209465","9","9","9","","","","","",""
"4844889","209493","209466","209520","-7","-7","-7","","","","","",""
"4845395","","","","","","","211115","211115","211115","-2","-2","-2"
"4845961","209568","209568","209568","6","6","6","","","","","",""
"4846639","","","","","","","211079","211079","211079","9","9","9"
"4847203","209583.5","209544","209623","11","11","11","","","","","",""
"4847651","","","","","","","211213","211213","211213","11","11","11"
"4848790","","","","","","","211177","211177","211177","10","10","10"
"4849680","209725","209725","209725","6","6","6","","","","","",""
"4849984","","","","","","","211288","211265","211311","6","6","6"
"4850688","209767","209767","209767","-7","-7","-7","","","","","",""
"4851176","","","","","","","211278","211278","211278","2","2","2"
"4851732","209776","209776","209776","10","10","10","","","","","",""
"4853073","209853","209853","209853","10","10","10","","","","","",""
"4853568","","","","","","","211443","211424","211462","8","8","8"
"4854277","209854","209854","209854","-2","-2","-2","","","","","",""
"4855728","","","","","","","211523","211523","211523","-5","-5","-5"
"4856596","","","","","","","211532","211532","211532","14","14","14"
"4856721","210006","209985","210027","2","2","2","","","","","",""
"4857402","","","","","","","211577.5","211542","211613","13","13","13"
"4857936","210078","210078","210078","2","2","2","","","","","",""
"4858314","","","","","","","211626","211626","211626","11","11","11"
"4859274","210132","210132","210132","7","7","7","","","","","",""
"4860601","210191","210191","210191","4","4","4","","","","","",""
"4861557","","","","","","","211737","211737","211737","1","1","1"
"4861956","210247","210247","210247","2","2","2","","","","","",""
"4862623","","","","","","","211854","211854","211854","14","14","14"
"4863104","210298","210298","210298","8","8","8","","","","","",""
"4864518","210325.5","210295","210356","6","6","6","","","","","",""
"4865658","210404","210404","210404","4","4","4","","","","","",""
"4866701","210373","210373","210373","7","7","7","","","","","",""
"4867385","","","","","","","211950","211950","211950","6","6","6"
"4867714","210450","210450","210450","7","7","7","","","","","",""
"4868693","","","","","","","212106","212106","212106","-2","-2","-2"
"4868800","210532","210527","210537","9","9","9","","","","","",""
"4869829","","","","","","","212052","212052","212052","6","6","6"
"4870875","","","","","","","212169.5","212138","212201","13","13","13"
"4871686","210662","210662","210662","14","14","14","","","","","",""
"4872204","","","","","","","212153","212153","212153","-3","-3","-3"
"4874075","210764","210764","210764","8","8","8","","","","","",""
"4874336","","","","","","","212307","212252","212362","6","6","6"
"4875482","210730","210730","210730","1","1","1","","","","","",""
"4876246","","","","","","","212385.5","212348","212423","14","14","14"
"4877100","210807","210807","210807","-2","-2","-2","","","","","",""
