"global_step","Rainbow DQN - _step","Rainbow DQN - _step__MIN","Rainbow DQN - _step__MAX","Rainbow DQN - charts/episodic_return","Rainbow DQN - charts/episodic_return__MIN","Rainbow DQN - charts/episodic_return__MAX","DQN - _step","DQN - _step__MIN","DQN - _step__MAX","DQN - charts/episodic_return","DQN - charts/episodic_return__MIN","DQN - charts/episodic_return__MAX"
"38858","","","","","","","563","563","563","-20","-20","-20"
"38956","564","564","564","-21","-21","-21","","","","","",""
"39142","565","565","565","-21","-21","-21","","","","","",""
"39272","","","","","","","536","505","567","-21","-21","-21"
"39325","634","634","634","-21","-21","-21","","","","","",""
"39476","","","","","","","537.5","506","569","-21","-21","-21"
"39512","617","567","667","-21","-21","-21","","","","","",""
"39680","","","","","","","571","571","571","-21","-21","-21"
"39880","569","569","569","-21","-21","-21","","","","","",""
"39954","","","","","","","508","508","508","-19","-19","-19"
"40070","654.5","636","673","-21","-21","-21","","","","","",""
"40192","","","","","","","509","509","509","-21","-21","-21"
"40413","","","","","","","577","577","577","-21","-21","-21"
"40439","677","677","677","-21","-21","-21","","","","","",""
"40628","659","639","679","-21","-21","-21","","","","","",""
"40869","","","","","","","512","512","512","-21","-21","-21"
"41004","641","641","641","-21","-21","-21","","","","","",""
"41120","","","","","","","583","583","583","-20","-20","-20"
"41194","663.5","642","685","-21","-21","-21","","","","","",""
"41378","687","687","687","-21","-21","-21","","","","","",""
"41566","644","644","644","-21","-21","-21","","","","","",""
"41588","","","","","","","587","587","587","-21","-21","-21"
"41754","691","691","691","-21","-21","-21","","","","","",""
"41938","693","693","693","-21","-21","-21","","","","","",""
"41974","","","","","","","554","517","591","-21","-21","-21"
"42125","695","695","695","-21","-21","-21","","","","","",""
"42161","","","","","","","518","518","518","-21","-21","-21"
"42311","697","697","697","-21","-21","-21","","","","","",""
"42391","","","","","","","519","519","519","-21","-21","-21"
"42497","699","699","699","-21","-21","-21","","","","","",""
"42596","","","","","","","558.5","520","597","-21","-21","-21"
"43061","705","705","705","-21","-21","-21","","","","","",""
"43205","","","","","","","563","523","603","-21","-21","-21"
"43249","707","707","707","-21","-21","-21","","","","","",""
"43437","681.5","654","709","-21","-21","-21","","","","","",""
"43599","","","","","","","525","525","525","-21","-21","-21"
"43810","684.5","656","713","-21","-21","-21","","","","","",""
"43997","686","657","715","-21","-21","-21","","","","","",""
"44183","658","658","658","-21","-21","-21","","","","","",""
"44371","659","659","659","-21","-21","-21","","","","","",""
"44786","","","","","","","632.5","613","652","-20","-20","-20"
"44930","693.5","662","725","-21","-21","-21","","","","","",""
"45007","","","","","","","634","614","654","-21","-21","-21"
"45118","695","663","727","-21","-21","-21","","","","","",""
"45208","","","","","","","656","656","656","-21","-21","-21"
"45303","729","729","729","-21","-21","-21","","","","","",""
"45437","","","","","","","658","658","658","-21","-21","-21"
"45646","","","","","","","660","660","660","-21","-21","-21"
"45860","752.5","733","772","-21","-21","-21","","","","","",""
"45875","","","","","","","618","618","618","-19","-19","-19"
"46058","","","","","","","619","619","619","-21","-21","-21"
"46237","735","735","735","-21","-21","-21","","","","","",""
"46318","","","","","","","666","666","666","-20","-20","-20"
"46427","778","778","778","-21","-21","-21","","","","","",""
"46508","","","","","","","621","621","621","-21","-21","-21"
"46613","737","737","737","-21","-21","-21","","","","","",""
"46753","","","","","","","646","622","670","-21","-21","-21"
"46796","760","738","782","-21","-21","-21","","","","","",""
"46977","","","","","","","647.5","623","672","-21","-21","-21"
"47169","740","740","740","-21","-21","-21","","","","","",""
"47184","","","","","","","649","624","674","-21","-21","-21"
"47354","764.5","741","788","-21","-21","-21","","","","","",""
"47389","","","","","","","650.5","625","676","-21","-21","-21"
"47586","","","","","","","626","626","626","-21","-21","-21"
"47818","","","","","","","627","627","627","-20","-20","-20"
"47912","769","744","794","-21","-21","-21","","","","","",""
"48037","","","","","","","628","628","628","-21","-21","-21"
"48096","770.5","745","796","-21","-21","-21","","","","","",""
"48255","","","","","","","629","629","629","-21","-21","-21"
"48461","","","","","","","686","686","686","-21","-21","-21"
"48469","800","800","800","-21","-21","-21","","","","","",""
"48657","802","802","802","-21","-21","-21","","","","","",""
"48842","804","804","804","-21","-21","-21","","","","","",""
"48894","","","","","","","632","632","632","-21","-21","-21"
"49025","778","750","806","-21","-21","-21","","","","","",""
"49102","","","","","","","662.5","633","692","-21","-21","-21"
"49213","808","808","808","-21","-21","-21","","","","","",""
"49345","","","","","","","664","634","694","-21","-21","-21"
"49545","","","","","","","665.5","635","696","-21","-21","-21"
"49587","782.5","753","812","-21","-21","-21","","","","","",""
"49777","814","814","814","-21","-21","-21","","","","","",""
"49961","755","755","755","-21","-21","-21","","","","","",""
"49976","","","","","","","637","637","637","-21","-21","-21"
"50150","756","756","756","-21","-21","-21","","","","","",""
"50338","788.5","757","820","-21","-21","-21","","","","","",""
"50528","822","822","822","-21","-21","-21","","","","","",""
"50564","","","","","","","673","640","706","-21","-21","-21"
"50718","824","824","824","-21","-21","-21","","","","","",""
"50769","","","","","","","708","708","708","-21","-21","-21"
"50906","826","826","826","-21","-21","-21","","","","","",""
"50998","","","","","","","694","642","746","-19","-19","-19"
"51095","794.5","761","828","-21","-21","-21","","","","","",""
"51224","","","","","","","695.5","643","748","-21","-21","-21"
"51281","830","830","830","-21","-21","-21","","","","","",""
"51428","","","","","","","750","750","750","-21","-21","-21"
"51464","763","763","763","-21","-21","-21","","","","","",""
"51614","","","","","","","731.5","711","752","-21","-21","-21"
"51648","764","764","764","-21","-21","-21","","","","","",""
"51834","806.5","765","848","-21","-21","-21","","","","","",""
"51846","","","","","","","754","754","754","-20","-20","-20"
"52017","808","766","850","-21","-21","-21","","","","","",""
"52038","","","","","","","756","756","756","-21","-21","-21"
"52202","767","767","767","-21","-21","-21","","","","","",""
"52467","","","","","","","715","715","715","-20","-20","-20"
