,_runtime,_timestamp,charts/beta,global_step,losses/td_loss,charts/episodic_length,charts/SPS,_step,losses/q_values,charts/episodic_return
48,6180.834372583,1754001885.1488874,,789900.0,,,127.0,35415,,
49,6290.969942255,1754001992.089514,,802700.0,2.4213982,,,35992,,
50,6330.981931527,1754002033.9967978,,807700.0,2.5449238,,,36218,,
51,6406.005389695,1754002102.2275746,,816000.0,,,127.0,36598,,
52,8116.489007974,1754003809.754737,,1023900.0,,,126.0,45899,,
53,8225.55593288,1754003933.9680095,,1038723.0,,764.0,,46534,,-16.0
54,8585.391798154,1754004293.8038328,,1081230.0,,766.0,,48343,,-13.0
55,8601.618148085,1754004301.1881976,,1082100.0,,,,48476,-2.4784458,
56,8926.70921673,1754004629.1250942,,1121100.0,,,,50201,-2.5101094,
57,9001.733481304,1754004708.146971,,1130600.0,2.37103,,,50621,,
58,9076.755586357,1754004776.4067066,0.468328,1138800.0,,,,50989,,
59,9181.784496702,1754004875.2051537,0.469036,1150600.0,,,,51511,,
60,9346.82879088,1754005044.8681867,0.470248,1170800.0,,,,52399,,
61,9406.848094118,1754005108.706695,0.47071,1178500.0,,,,52739,,
62,9496.875936269,1754005202.2052794,0.471394,1189900.0,,,,53242,,
63,9526.884031134,1754005230.541415,,1193300.0,2.4225714,,,53388,,
64,9616.911181317,1754005321.7898993,,1204300.0,2.2968276,,,53872,,
65,9858.045165865,1754005552.285685,,1231900.0,2.4285252,,,55085,,
66,9953.071684517,1754005641.7731836,,1242500.0,,,125.0,55551,,
67,10173.137919226,1754005870.3032017,,1269700.0,,,124.0,56743,,
68,10218.1509908,1754005918.9013274,0.47653,1275500.0,,,,56994,,
69,10428.210583384,1754006126.761288,,1300800.0,,,,58104,-2.0089617,
70,10518.233560273,1754006212.6725054,,1311300.0,,,,58563,-1.8576255,
71,10848.32797682,1754006551.2952595,0.481144,1352400.0,,,,60361,,
72,11193.423434654,1754006886.117967,,1393200.0,,,,62136,-1.9490876,
73,11253.441001377,1754006955.445076,0.484096,1401600.0,,,,62505,,
74,11388.483562602,1754007092.7406082,,1418300.0,,,124.0,63230,,
75,11418.488828526,1754007110.0715516,,1420400.0,,,,63323,-1.7909327,
76,11523.519111144,1754007220.2638495,0.486028,1433800.0,,,,63908,,
77,11628.548420626,1754007320.865526,0.48676,1446000.0,,,,64439,,
78,11765.453504823,1754007473.8655715,,1464306.0,,829.0,,65206,,-11.0
79,11958.646915836,1754007658.6922767,,1486600.0,2.4273221,,,66197,,
80,12078.681465566,1754007779.6379397,,1501200.0,,,,66829,-1.3815687,
81,12288.744459775,1754007985.2635863,,1525800.0,2.356097,,,67894,,
82,12303.75039961,1754008006.4991455,,1528300.0,,,124.0,68002,,
83,12408.774771911,1754008105.4870753,0.492406,1540100.0,,,,68515,,
84,12423.778254077,1754008117.2248363,,1541500.0,2.3668644,,,68574,,
85,12438.782578536,1754008136.335706,,1543800.0,2.4443376,,,68674,,
86,12438.782932854,1754008139.850334,,1544200.0,2.3744104,,,68690,,
87,12468.795439237,1754008175.4801006,,1548500.0,2.4348986,,,68876,,
88,12843.896332873,1754008538.6898615,,1592000.0,,,124.0,70760,,
89,12858.899934637,1754008554.4568632,,1593921.0,,1091.0,,70844,,
90,12993.938768918,1754008698.5955036,,1611400.0,,,,71597,-1.5315604,
91,13173.991481019,1754008879.891219,,1633300.0,,,,72539,-1.2886629,
92,13429.060411307,1754009123.2835772,,1663100.0,2.3929045,,,73825,,
93,13534.091349841,1754009227.8458352,,1676000.0,,,,74381,-1.3664513,
94,13819.165779425,1754009514.7663426,0.50269,1711500.0,,,,75922,,
95,14384.320605365,1754010089.7171323,,1782700.0,,,123.0,78994,,
96,14979.48471743,1754010675.3492076,,1856700.0,,,,82185,-0.9536743,
97,15424.609206556,1754011126.3705175,0.514816,1913600.0,,,,84639,,
98,15439.612008763,1754011133.019081,,1914400.0,,,124.0,84674,,
99,15679.681607296,1754011376.3948762,,1944000.0,2.4557898,,,85940,,
100,15694.685259569,1754011392.4484894,,1946000.0,,,124.0,86030,,
101,15809.72093844,1754011502.287169,,1960000.0,,,124.0,86635,,
102,16054.790955589,1754011751.18205,0.51946,1991000.0,,,,87963,,
