,_runtime,_timestamp,charts/beta,global_step,losses/td_loss,charts/episodic_length,charts/SPS,_step,losses/q_values,charts/episodic_return
103,16084.798025387,1754011779.1304193,,1994400.0,,,124.0,88108,,
104,16279.855842216,1754011978.4476051,,2018600.0,,,124.0,89147,,
105,16669.965683535,1754012374.0167003,,2066600.0,,,,91203,-0.56817746,
106,16759.990221599,1754012452.1745496,,2076100.0,,,124.0,91613,,
107,17070.079769047,1754012774.4082952,,2115300.0,,,123.0,93296,,
108,17315.149159797,1754013013.4407902,,2144500.0,2.2920306,,,94547,,
109,17660.248211623,1754013355.3459392,0.531184,2186400.0,,,,96346,,
110,17705.262116229,1754013399.0477118,,2191800.0,,,123.0,96576,,
111,17760.280274765,1754013459.1898096,,2199200.0,2.366689,,,96891,,
112,17805.294021003,1754013509.3065243,0.532324,2205400.0,,,,97157,,
113,18155.390714835,1754013856.76508,,2248100.0,,,123.0,98987,,
114,18270.424111411,1754013973.7617526,0.535744,2262400.0,,,,99605,,
115,18380.452800142,1754014072.5160248,,2274600.0,,,123.0,100128,,
116,18485.484999073,1754014187.3031902,0.537322,2288700.0,,,,100734,,
117,18645.531355809,1754014346.5358608,,2308300.0,2.4048986,,,101569,,
118,18675.539715337,1754014381.3465195,0.538756,2312600.0,,,,101756,,
119,18690.542476138,1754014388.8579745,,2313500.0,,,,101791,-0.5286532,
120,18960.617914577,1754014665.612767,,2347500.0,2.3805425,,,103245,,
121,19010.630659511,1754014709.506038,,2352900.0,,,,103478,-0.55235994,
122,19040.638008302,1754014730.922438,0.54133,2355500.0,,,,103591,,
123,19205.684812923,1754014905.2956922,,2376800.0,,,,104497,-0.48616862,
124,19335.721691076,1754015039.5654173,0.543598,2393300.0,,,,105204,,
125,19605.798398828,1754015310.633455,,2426600.0,,,123.0,106625,,
126,19710.828546152,1754015411.844252,,2439000.0,,,,107156,-0.41938356,
127,20130.946579777,1754015824.5696816,,2490100.0,,,,109336,-0.53992623,
128,20190.963747724,1754015886.9585934,,2497900.0,2.3862169,,,109667,,
129,20250.979942166,1754015947.9274855,0.550324,2505400.0,,,,109989,,
130,20300.994472565,1754015994.6682107,,2511200.0,,,123.0,110235,,
131,20461.03807442,1754016162.268029,,2532000.0,2.319378,,,111115,,
132,20641.090713605,1754016341.916351,,2554500.0,,,,112073,-0.55817246,
133,20686.102514419,1754016382.9570265,,2559600.0,2.3521526,,,112291,,
134,20806.140449005,1754016508.762066,,2575300.0,,,,112959,-0.4683537,
135,21031.20369791,1754016728.9365184,,2602500.0,,,,114113,-0.45750645,
136,21061.212780382,1754016766.385994,0.556426,2607100.0,,,,114308,,
137,21556.352793697,1754017262.5762777,0.56008,2668000.0,,,,116900,,
138,21816.423680166,1754017507.4561098,0.561856,2697600.0,,,,118157,,
139,21831.427255434,1754017526.3479347,,2699900.0,,,123.0,118254,,
140,21891.444226557,1754017584.2069407,,2706900.0,,,,118551,-0.35154104,
141,22156.515881318,1754017858.002415,,2740427.0,,1092.0,,119985,,
142,22666.664319968,1754018359.2931542,0.568114,2801900.0,,,,122599,,
